                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 0.8715,                0.77186,                 1.0424,                0.77465,                0.78724,                0.86605,                0.77823,                0.48562,                0.59985,                 0.8783,               0.006436,               0.006436,               0.006436
                     38,                0.86631,                0.76743,                   1.04,                0.77548,                0.78626,                0.86613,                0.77825,                0.48521,                0.59938,                0.87813,               0.006337,               0.006337,               0.006337
                     39,                0.86665,                0.76589,                 1.0398,                0.77686,                0.78537,                0.86639,                 0.7786,                0.48502,                0.59874,                0.87807,               0.006238,               0.006238,               0.006238
                     40,                0.86226,                0.76695,                 1.0398,                0.77686,                0.78694,                0.86659,                0.77879,                0.48483,                0.59842,                0.87804,               0.006139,               0.006139,               0.006139
                     41,                0.85969,                0.76314,                 1.0368,                0.77961,                0.78508,                0.86694,                0.77947,                 0.4844,                0.59744,                0.87791,                0.00604,                0.00604,                0.00604
                     42,                0.85849,                0.76224,                 1.0363,                 0.7784,                0.78717,                0.86702,                0.77957,                0.48411,                0.59749,                0.87793,               0.005941,               0.005941,               0.005941
                     43,                0.85561,                0.76151,                 1.0374,                0.77701,                0.78887,                0.86727,                0.77996,                0.48357,                0.59681,                0.87776,               0.005842,               0.005842,               0.005842
                     44,                0.85442,                0.75909,                 1.0344,                0.77727,                0.78903,                0.86738,                0.78015,                0.48304,                  0.596,                0.87759,               0.005743,               0.005743,               0.005743
                     45,                 0.8542,                0.75825,                 1.0377,                0.77728,                0.78894,                0.86759,                0.78055,                0.48271,                0.59556,                0.87755,               0.005644,               0.005644,               0.005644
                     46,                0.84914,                0.75597,                 1.0336,                0.77504,                0.79159,                0.86781,                0.78096,                0.48236,                0.59465,                0.87742,               0.005545,               0.005545,               0.005545
                     47,                0.84817,                0.75275,                 1.0296,                0.77257,                0.79397,                0.86803,                0.78119,                0.48218,                0.59429,                 0.8773,               0.005446,               0.005446,               0.005446
                     48,                0.84333,                0.75015,                 1.0299,                0.77347,                0.79358,                 0.8682,                0.78144,                0.48188,                0.59396,                0.87722,               0.005347,               0.005347,               0.005347
                     49,                0.84355,                0.74822,                 1.0316,                0.77058,                0.79742,                0.86854,                0.78163,                0.48161,                0.59335,                0.87699,               0.005248,               0.005248,               0.005248
                     50,                0.84357,                0.74795,                  1.031,                0.76765,                0.80143,                0.86884,                0.78197,                0.48145,                0.59241,                0.87699,               0.005149,               0.005149,               0.005149
                     51,                0.84043,                0.74407,                 1.0292,                0.76589,                 0.8047,                0.86912,                0.78246,                0.48135,                0.59162,                0.87685,                0.00505,                0.00505,                0.00505
                     52,                 0.8379,                0.74177,                 1.0269,                0.77028,                 0.8007,                0.86934,                0.78278,                0.48098,                0.59068,                0.87656,               0.004951,               0.004951,               0.004951
                     53,                0.83615,                0.73981,                 1.0238,                0.76918,                0.80182,                0.86953,                0.78304,                0.48067,                0.59016,                0.87642,               0.004852,               0.004852,               0.004852
                     54,                0.83751,                0.74147,                  1.027,                0.76782,                0.80306,                0.86969,                0.78292,                0.48002,                0.58988,                0.87612,               0.004753,               0.004753,               0.004753
                     55,                0.83336,                0.73757,                 1.0259,                0.76537,                0.80601,                0.86994,                0.78353,                0.47962,                0.58898,                0.87617,               0.004654,               0.004654,               0.004654
                     56,                0.82945,                0.73449,                 1.0261,                0.76501,                0.80764,                0.87029,                0.78407,                0.47887,                0.58781,                0.87597,               0.004555,               0.004555,               0.004555
                     57,                0.82785,                0.73431,                 1.0247,                0.76463,                0.80909,                0.87053,                0.78434,                0.47816,                0.58705,                0.87574,               0.004456,               0.004456,               0.004456
                     58,                0.82898,                0.73156,                 1.0226,                0.77023,                0.80221,                0.87087,                0.78491,                0.47785,                0.58612,                0.87551,               0.004357,               0.004357,               0.004357
                     59,                0.82252,                0.72826,                 1.0209,                0.76943,                0.80384,                0.87119,                 0.7853,                0.47737,                0.58475,                0.87529,               0.004258,               0.004258,               0.004258
                     60,                0.82458,                0.72586,                 1.0221,                0.77339,                0.79998,                0.87136,                0.78547,                0.47692,                0.58378,                0.87515,               0.004159,               0.004159,               0.004159
                     61,                0.82153,                0.72541,                 1.0208,                0.77296,                0.80116,                0.87163,                0.78569,                0.47666,                0.58287,                0.87496,                0.00406,                0.00406,                0.00406
                     62,                 0.8184,                 0.7224,                   1.02,                0.77394,                0.80025,                0.87188,                0.78626,                0.47651,                0.58196,                 0.8749,               0.003961,               0.003961,               0.003961
                     63,                0.81592,                0.71921,                 1.0197,                0.77442,                 0.8009,                0.87213,                0.78675,                0.47613,                0.58167,                 0.8748,               0.003862,               0.003862,               0.003862
                     64,                0.81588,                0.71731,                 1.0182,                0.77461,                0.80109,                0.87235,                0.78703,                0.47569,                 0.5808,                 0.8747,               0.003763,               0.003763,               0.003763
                     65,                0.81328,                0.71632,                 1.0166,                0.77317,                0.80391,                0.87259,                0.78756,                0.47525,                0.57989,                 0.8745,               0.003664,               0.003664,               0.003664
                     66,                0.81157,                 0.7156,                 1.0166,                0.77281,                0.80515,                0.87276,                0.78781,                0.47469,                0.57889,                0.87432,               0.003565,               0.003565,               0.003565
                     67,                0.81036,                0.71381,                 1.0169,                0.77236,                0.80581,                0.87308,                0.78834,                0.47431,                0.57772,                0.87422,               0.003466,               0.003466,               0.003466
                     68,                0.80736,                0.70988,                 1.0154,                0.77249,                0.80685,                0.87348,                 0.7889,                0.47388,                0.57642,                0.87425,               0.003367,               0.003367,               0.003367
                     69,                0.80729,                0.71113,                 1.0172,                0.77345,                0.80613,                0.87368,                0.78894,                0.47358,                0.57525,                0.87401,               0.003268,               0.003268,               0.003268
                     70,                0.80583,                0.70976,                 1.0125,                0.77438,                0.80589,                0.87405,                0.78925,                0.47331,                0.57425,                0.87386,               0.003169,               0.003169,               0.003169
                     71,                0.80165,                0.70583,                  1.015,                0.77257,                0.80744,                 0.8743,                 0.7898,                0.47314,                0.57346,                 0.8738,                0.00307,                0.00307,                0.00307
                     72,                0.79978,                0.70343,                 1.0155,                 0.7747,                0.80602,                0.87464,                0.78994,                0.47264,                0.57265,                0.87369,               0.002971,               0.002971,               0.002971
